"dataset_id","family","tau_label","fit_size","source_index_start","source_index_end","q_true_first","local_first_signal","source_aligned_first_signal","local_abs_error","source_aligned_abs_error","improvement_factor","status","series_wide_path"
"dynamic::gausmix::0p05::500","gausmix","0p05",500,6501,7000,165.0551137561,69.9211946381852,156.062017059762,95.1339191179148,8.99309669633774,10.578549561983,"pass","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_p90_m0amp_highnoise_steepertrend_v1/gausmix/tau_0p05/fit_input_lastTT500/series_wide.csv"
"dynamic::gausmix::0p05::5000","gausmix","0p05",5000,2001,7000,97.8711337934694,69.9211946381852,93.0620170597811,27.9499391552842,4.8091167336883,5.81186540128925,"pass","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_p90_m0amp_highnoise_steepertrend_v1/gausmix/tau_0p05/fit_input_lastTT5000/series_wide.csv"
"dynamic::gausmix::0p25::500","gausmix","0p25",500,6501,7000,165.0551137561,69.9211946381852,156.062017059762,95.1339191179148,8.99309669633774,10.578549561983,"pass","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_p90_m0amp_highnoise_steepertrend_v1/gausmix/tau_0p25/fit_input_lastTT500/series_wide.csv"
"dynamic::gausmix::0p25::5000","gausmix","0p25",5000,2001,7000,97.8711337934694,69.9211946381852,93.0620170597811,27.9499391552842,4.8091167336883,5.81186540128925,"pass","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_p90_m0amp_highnoise_steepertrend_v1/gausmix/tau_0p25/fit_input_lastTT5000/series_wide.csv"
"dynamic::gausmix::0p50::500","gausmix","0p50",500,6501,7000,165.0551137561,69.9211946381852,156.062017059762,95.1339191179148,8.99309669633774,10.578549561983,"pass","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_p90_m0amp_highnoise_steepertrend_v1/gausmix/tau_0p50/fit_input_lastTT500/series_wide.csv"
"dynamic::gausmix::0p50::5000","gausmix","0p50",5000,2001,7000,97.8711337934694,69.9211946381852,93.0620170597811,27.9499391552842,4.8091167336883,5.81186540128925,"pass","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_p90_m0amp_highnoise_steepertrend_v1/gausmix/tau_0p50/fit_input_lastTT5000/series_wide.csv"
"dynamic::laplace::0p05::500","laplace","0p05",500,6501,7000,100.711062595806,70.5316087460628,99.5037958989593,30.1794538497432,1.20726669684667,24.9981664602946,"pass","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_p90_m0amp_highnoise_steepertrend_v1/laplace/tau_0p05/fit_input_lastTT500/series_wide.csv"
"dynamic::laplace::0p05::5000","laplace","0p05",5000,2001,7000,51.367573253214,70.5316087460628,50.0037958989753,19.1640354928488,1.36377735423869,14.0521731302299,"pass","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_p90_m0amp_highnoise_steepertrend_v1/laplace/tau_0p05/fit_input_lastTT5000/series_wide.csv"
"dynamic::laplace::0p25::500","laplace","0p25",500,6501,7000,100.711062595806,70.5316087460628,99.5037958989593,30.1794538497432,1.20726669684667,24.9981664602946,"pass","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_p90_m0amp_highnoise_steepertrend_v1/laplace/tau_0p25/fit_input_lastTT500/series_wide.csv"
"dynamic::laplace::0p25::5000","laplace","0p25",5000,2001,7000,51.367573253214,70.5316087460628,50.0037958989753,19.1640354928488,1.36377735423869,14.0521731302299,"pass","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_p90_m0amp_highnoise_steepertrend_v1/laplace/tau_0p25/fit_input_lastTT5000/series_wide.csv"
"dynamic::laplace::0p50::500","laplace","0p50",500,6501,7000,100.711062595806,70.5316087460628,99.5037958989593,30.1794538497432,1.20726669684667,24.9981664602946,"pass","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_p90_m0amp_highnoise_steepertrend_v1/laplace/tau_0p50/fit_input_lastTT500/series_wide.csv"
"dynamic::laplace::0p50::5000","laplace","0p50",5000,2001,7000,51.367573253214,70.5316087460628,50.0037958989753,19.1640354928488,1.36377735423869,14.0521731302299,"pass","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_p90_m0amp_highnoise_steepertrend_v1/laplace/tau_0p50/fit_input_lastTT5000/series_wide.csv"
"dynamic::normal::0p05::500","normal","0p05",500,6501,7000,149.994841740652,67.7968088478741,121.908023812419,82.1980328927779,28.0868179282333,2.92656979166554,"pass","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_p90_m0amp_highnoise_steepertrend_v1/normal/tau_0p05/fit_input_lastTT500/series_wide.csv"
"dynamic::normal::0p05::5000","normal","0p05",5000,2001,7000,82.9862501695597,67.7968088478741,67.9080238124211,15.1894413216856,15.0782263571386,1.00737586516563,"pass","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_p90_m0amp_highnoise_steepertrend_v1/normal/tau_0p05/fit_input_lastTT5000/series_wide.csv"
"dynamic::normal::0p25::500","normal","0p25",500,6501,7000,149.994841740652,67.7968088478741,121.908023812419,82.1980328927779,28.0868179282333,2.92656979166554,"pass","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_p90_m0amp_highnoise_steepertrend_v1/normal/tau_0p25/fit_input_lastTT500/series_wide.csv"
"dynamic::normal::0p25::5000","normal","0p25",5000,2001,7000,82.9862501695597,67.7968088478741,67.9080238124211,15.1894413216856,15.0782263571386,1.00737586516563,"pass","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_p90_m0amp_highnoise_steepertrend_v1/normal/tau_0p25/fit_input_lastTT5000/series_wide.csv"
"dynamic::normal::0p50::500","normal","0p50",500,6501,7000,149.994841740652,67.7968088478741,121.908023812419,82.1980328927779,28.0868179282333,2.92656979166554,"pass","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_p90_m0amp_highnoise_steepertrend_v1/normal/tau_0p50/fit_input_lastTT500/series_wide.csv"
"dynamic::normal::0p50::5000","normal","0p50",5000,2001,7000,82.9862501695597,67.7968088478741,67.9080238124211,15.1894413216856,15.0782263571386,1.00737586516563,"pass","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_p90_m0amp_highnoise_steepertrend_v1/normal/tau_0p50/fit_input_lastTT5000/series_wide.csv"
