root_id	root_kind	family	tau	fit_axis	fit_size	fit_label	prior	prepared_root	run_root	model_a	model_b	model_path_task_a	model_path_task_b	pipeline_script	postprocess_task_id	postprocess_script	signoff_task_id	signoff_script	review_task_id	review_script	cross_root_barrier_id	campaign_barrier_id
root__static_paper__laplace__tau_0p05__tt_1000	static_paper	laplace	0.05	TT	1000	TT=1000	paper	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	al	exal	mp__root__static_paper__laplace__tau_0p05__tt_1000__al	mp__root__static_paper__laplace__tau_0p05__tt_1000__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_paper__laplace__tau_0p05__tt_1000	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_paper__laplace__tau_0p05__tt_1000	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_paper__laplace__tau_0p05__tt_1000	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	campaign__static_paper__family_laplace	campaign__static_paper
root__static_paper__laplace__tau_0p25__tt_100	static_paper	laplace	0.25	TT	100	TT=100	paper	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	al	exal	mp__root__static_paper__laplace__tau_0p25__tt_100__al	mp__root__static_paper__laplace__tau_0p25__tt_100__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_paper__laplace__tau_0p25__tt_100	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_paper__laplace__tau_0p25__tt_100	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_paper__laplace__tau_0p25__tt_100	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	campaign__static_paper__family_laplace	campaign__static_paper
root__static_paper__laplace__tau_0p25__tt_1000	static_paper	laplace	0.25	TT	1000	TT=1000	paper	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	al	exal	mp__root__static_paper__laplace__tau_0p25__tt_1000__al	mp__root__static_paper__laplace__tau_0p25__tt_1000__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_paper__laplace__tau_0p25__tt_1000	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_paper__laplace__tau_0p25__tt_1000	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_paper__laplace__tau_0p25__tt_1000	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	campaign__static_paper__family_laplace	campaign__static_paper
root__static_paper__laplace__tau_0p95__tt_100	static_paper	laplace	0.95	TT	100	TT=100	paper	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	al	exal	mp__root__static_paper__laplace__tau_0p95__tt_100__al	mp__root__static_paper__laplace__tau_0p95__tt_100__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_paper__laplace__tau_0p95__tt_100	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_paper__laplace__tau_0p95__tt_100	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_paper__laplace__tau_0p95__tt_100	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	campaign__static_paper__family_laplace	campaign__static_paper
root__static_paper__laplace__tau_0p95__tt_1000	static_paper	laplace	0.95	TT	1000	TT=1000	paper	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	al	exal	mp__root__static_paper__laplace__tau_0p95__tt_1000__al	mp__root__static_paper__laplace__tau_0p95__tt_1000__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_paper__laplace__tau_0p95__tt_1000	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_paper__laplace__tau_0p95__tt_1000	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_paper__laplace__tau_0p95__tt_1000	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	campaign__static_paper__family_laplace	campaign__static_paper
root__static_paper__normal__tau_0p05__tt_100	static_paper	normal	0.05	TT	100	TT=100	paper	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	al	exal	mp__root__static_paper__normal__tau_0p05__tt_100__al	mp__root__static_paper__normal__tau_0p05__tt_100__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_paper__normal__tau_0p05__tt_100	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_paper__normal__tau_0p05__tt_100	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_paper__normal__tau_0p05__tt_100	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	campaign__static_paper__family_normal	campaign__static_paper
root__static_paper__normal__tau_0p05__tt_1000	static_paper	normal	0.05	TT	1000	TT=1000	paper	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	al	exal	mp__root__static_paper__normal__tau_0p05__tt_1000__al	mp__root__static_paper__normal__tau_0p05__tt_1000__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_paper__normal__tau_0p05__tt_1000	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_paper__normal__tau_0p05__tt_1000	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_paper__normal__tau_0p05__tt_1000	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	campaign__static_paper__family_normal	campaign__static_paper
root__static_paper__normal__tau_0p25__tt_100	static_paper	normal	0.25	TT	100	TT=100	paper	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	al	exal	mp__root__static_paper__normal__tau_0p25__tt_100__al	mp__root__static_paper__normal__tau_0p25__tt_100__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_paper__normal__tau_0p25__tt_100	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_paper__normal__tau_0p25__tt_100	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_paper__normal__tau_0p25__tt_100	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	campaign__static_paper__family_normal	campaign__static_paper
root__static_paper__normal__tau_0p25__tt_1000	static_paper	normal	0.25	TT	1000	TT=1000	paper	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	al	exal	mp__root__static_paper__normal__tau_0p25__tt_1000__al	mp__root__static_paper__normal__tau_0p25__tt_1000__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_paper__normal__tau_0p25__tt_1000	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_paper__normal__tau_0p25__tt_1000	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_paper__normal__tau_0p25__tt_1000	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	campaign__static_paper__family_normal	campaign__static_paper
root__static_paper__normal__tau_0p95__tt_100	static_paper	normal	0.95	TT	100	TT=100	paper	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	al	exal	mp__root__static_paper__normal__tau_0p95__tt_100__al	mp__root__static_paper__normal__tau_0p95__tt_100__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_paper__normal__tau_0p95__tt_100	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_paper__normal__tau_0p95__tt_100	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_paper__normal__tau_0p95__tt_100	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	campaign__static_paper__family_normal	campaign__static_paper
root__static_paper__normal__tau_0p95__tt_1000	static_paper	normal	0.95	TT	1000	TT=1000	paper	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	al	exal	mp__root__static_paper__normal__tau_0p95__tt_1000__al	mp__root__static_paper__normal__tau_0p95__tt_1000__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_paper__normal__tau_0p95__tt_1000	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_paper__normal__tau_0p95__tt_1000	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_paper__normal__tau_0p95__tt_1000	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	campaign__static_paper__family_normal	campaign__static_paper
root__static_shrink__gausmix__tau_0p05__tt_100__rhs	static_shrink	gausmix	0.05	TT	100	TT=100	rhs	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	al	exal	mp__root__static_shrink__gausmix__tau_0p05__tt_100__rhs__al	mp__root__static_shrink__gausmix__tau_0p05__tt_100__rhs__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_shrink__gausmix__tau_0p05__tt_100__rhs	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_shrink__gausmix__tau_0p05__tt_100__rhs	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_shrink__gausmix__tau_0p05__tt_100__rhs	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	compare__static_shrink__gausmix__tau_0p05__tt_100	campaign__static_shrink
root__static_shrink__gausmix__tau_0p05__tt_100__ridge	static_shrink	gausmix	0.05	TT	100	TT=100	ridge	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	al	exal	mp__root__static_shrink__gausmix__tau_0p05__tt_100__ridge__al	mp__root__static_shrink__gausmix__tau_0p05__tt_100__ridge__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_shrink__gausmix__tau_0p05__tt_100__ridge	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_shrink__gausmix__tau_0p05__tt_100__ridge	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_shrink__gausmix__tau_0p05__tt_100__ridge	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	compare__static_shrink__gausmix__tau_0p05__tt_100	campaign__static_shrink
root__static_shrink__gausmix__tau_0p05__tt_1000__rhs	static_shrink	gausmix	0.05	TT	1000	TT=1000	rhs	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	al	exal	mp__root__static_shrink__gausmix__tau_0p05__tt_1000__rhs__al	mp__root__static_shrink__gausmix__tau_0p05__tt_1000__rhs__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_shrink__gausmix__tau_0p05__tt_1000__rhs	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_shrink__gausmix__tau_0p05__tt_1000__rhs	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_shrink__gausmix__tau_0p05__tt_1000__rhs	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	compare__static_shrink__gausmix__tau_0p05__tt_1000	campaign__static_shrink
root__static_shrink__gausmix__tau_0p05__tt_1000__ridge	static_shrink	gausmix	0.05	TT	1000	TT=1000	ridge	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	al	exal	mp__root__static_shrink__gausmix__tau_0p05__tt_1000__ridge__al	mp__root__static_shrink__gausmix__tau_0p05__tt_1000__ridge__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_shrink__gausmix__tau_0p05__tt_1000__ridge	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_shrink__gausmix__tau_0p05__tt_1000__ridge	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_shrink__gausmix__tau_0p05__tt_1000__ridge	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	compare__static_shrink__gausmix__tau_0p05__tt_1000	campaign__static_shrink
root__static_shrink__gausmix__tau_0p25__tt_100__rhs	static_shrink	gausmix	0.25	TT	100	TT=100	rhs	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	al	exal	mp__root__static_shrink__gausmix__tau_0p25__tt_100__rhs__al	mp__root__static_shrink__gausmix__tau_0p25__tt_100__rhs__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_shrink__gausmix__tau_0p25__tt_100__rhs	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_shrink__gausmix__tau_0p25__tt_100__rhs	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_shrink__gausmix__tau_0p25__tt_100__rhs	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	compare__static_shrink__gausmix__tau_0p25__tt_100	campaign__static_shrink
root__static_shrink__gausmix__tau_0p25__tt_100__ridge	static_shrink	gausmix	0.25	TT	100	TT=100	ridge	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	al	exal	mp__root__static_shrink__gausmix__tau_0p25__tt_100__ridge__al	mp__root__static_shrink__gausmix__tau_0p25__tt_100__ridge__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_shrink__gausmix__tau_0p25__tt_100__ridge	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_shrink__gausmix__tau_0p25__tt_100__ridge	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_shrink__gausmix__tau_0p25__tt_100__ridge	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	compare__static_shrink__gausmix__tau_0p25__tt_100	campaign__static_shrink
root__static_shrink__gausmix__tau_0p25__tt_1000__rhs	static_shrink	gausmix	0.25	TT	1000	TT=1000	rhs	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	al	exal	mp__root__static_shrink__gausmix__tau_0p25__tt_1000__rhs__al	mp__root__static_shrink__gausmix__tau_0p25__tt_1000__rhs__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_shrink__gausmix__tau_0p25__tt_1000__rhs	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_shrink__gausmix__tau_0p25__tt_1000__rhs	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_shrink__gausmix__tau_0p25__tt_1000__rhs	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	compare__static_shrink__gausmix__tau_0p25__tt_1000	campaign__static_shrink
root__static_shrink__gausmix__tau_0p25__tt_1000__ridge	static_shrink	gausmix	0.25	TT	1000	TT=1000	ridge	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	al	exal	mp__root__static_shrink__gausmix__tau_0p25__tt_1000__ridge__al	mp__root__static_shrink__gausmix__tau_0p25__tt_1000__ridge__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_shrink__gausmix__tau_0p25__tt_1000__ridge	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_shrink__gausmix__tau_0p25__tt_1000__ridge	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_shrink__gausmix__tau_0p25__tt_1000__ridge	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	compare__static_shrink__gausmix__tau_0p25__tt_1000	campaign__static_shrink
root__static_shrink__gausmix__tau_0p95__tt_100__rhs	static_shrink	gausmix	0.95	TT	100	TT=100	rhs	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	al	exal	mp__root__static_shrink__gausmix__tau_0p95__tt_100__rhs__al	mp__root__static_shrink__gausmix__tau_0p95__tt_100__rhs__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_shrink__gausmix__tau_0p95__tt_100__rhs	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_shrink__gausmix__tau_0p95__tt_100__rhs	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_shrink__gausmix__tau_0p95__tt_100__rhs	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	compare__static_shrink__gausmix__tau_0p95__tt_100	campaign__static_shrink
root__static_shrink__gausmix__tau_0p95__tt_100__ridge	static_shrink	gausmix	0.95	TT	100	TT=100	ridge	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	al	exal	mp__root__static_shrink__gausmix__tau_0p95__tt_100__ridge__al	mp__root__static_shrink__gausmix__tau_0p95__tt_100__ridge__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_shrink__gausmix__tau_0p95__tt_100__ridge	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_shrink__gausmix__tau_0p95__tt_100__ridge	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_shrink__gausmix__tau_0p95__tt_100__ridge	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	compare__static_shrink__gausmix__tau_0p95__tt_100	campaign__static_shrink
root__static_shrink__gausmix__tau_0p95__tt_1000__rhs	static_shrink	gausmix	0.95	TT	1000	TT=1000	rhs	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	al	exal	mp__root__static_shrink__gausmix__tau_0p95__tt_1000__rhs__al	mp__root__static_shrink__gausmix__tau_0p95__tt_1000__rhs__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_shrink__gausmix__tau_0p95__tt_1000__rhs	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_shrink__gausmix__tau_0p95__tt_1000__rhs	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_shrink__gausmix__tau_0p95__tt_1000__rhs	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	compare__static_shrink__gausmix__tau_0p95__tt_1000	campaign__static_shrink
root__static_shrink__gausmix__tau_0p95__tt_1000__ridge	static_shrink	gausmix	0.95	TT	1000	TT=1000	ridge	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	al	exal	mp__root__static_shrink__gausmix__tau_0p95__tt_1000__ridge__al	mp__root__static_shrink__gausmix__tau_0p95__tt_1000__ridge__exal	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	post__root__static_shrink__gausmix__tau_0p95__tt_1000__ridge	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	signoff__root__static_shrink__gausmix__tau_0p95__tt_1000__ridge	tools/merge_reports/20260314_family_qspec_root_signoff.R	review__root__static_shrink__gausmix__tau_0p95__tt_1000__ridge	tools/merge_reports/20260305_static_postprocess_from_existing_fits.R + tools/merge_reports/20260305_static_vb_mcmc_report.R	compare__static_shrink__gausmix__tau_0p95__tt_1000	campaign__static_shrink
