root_id	root_kind	family	tau	fit_size	prior	inference	model	signoff_grade	signoff_reason	suggested_action	run_root
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	vb	exdqlm	FAIL	ld_unstable; vb_converged_false; core_parameter_tail_unstable	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	mcmc	exdqlm	FAIL	geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	5000	default	vb	exdqlm	FAIL	ld_unstable; vb_converged_false; core_parameter_tail_unstable	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	5000	default	mcmc	exdqlm	FAIL	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	5000	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p25__lasttt_500	dynamic	gausmix	0.25	500	default	mcmc	exdqlm	FAIL	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p25__lasttt_500	dynamic	gausmix	0.25	500	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p25__lasttt_5000	dynamic	gausmix	0.25	5000	default	mcmc	exdqlm	FAIL	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p25__lasttt_5000	dynamic	gausmix	0.25	5000	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p95__lasttt_500	dynamic	gausmix	0.95	500	default	mcmc	exdqlm	FAIL	geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p95__lasttt_500	dynamic	gausmix	0.95	500	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p95__lasttt_5000	dynamic	gausmix	0.95	5000	default	mcmc	exdqlm	FAIL	geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p95__lasttt_5000	dynamic	gausmix	0.95	5000	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	500	default	vb	exdqlm	FAIL	ld_unstable; vb_converged_false; core_parameter_tail_unstable	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	500	default	mcmc	exdqlm	FAIL	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	500	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p05__lasttt_5000	dynamic	laplace	0.05	5000	default	vb	exdqlm	FAIL	ld_unstable; vb_converged_false; core_parameter_tail_unstable	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__laplace__tau_0p05__lasttt_5000	dynamic	laplace	0.05	5000	default	mcmc	exdqlm	FAIL	low_ess; high_autocorrelation; geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__laplace__tau_0p05__lasttt_5000	dynamic	laplace	0.05	5000	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__laplace__tau_0p25__lasttt_500	dynamic	laplace	0.25	500	default	mcmc	exdqlm	FAIL	low_ess; high_autocorrelation; geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p25__lasttt_500	dynamic	laplace	0.25	500	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p25__lasttt_5000	dynamic	laplace	0.25	5000	default	mcmc	exdqlm	FAIL	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__laplace__tau_0p25__lasttt_5000	dynamic	laplace	0.25	5000	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__laplace__tau_0p95__lasttt_500	dynamic	laplace	0.95	500	default	mcmc	exdqlm	FAIL	geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p95__lasttt_500	dynamic	laplace	0.95	500	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__laplace__tau_0p95__lasttt_5000	dynamic	laplace	0.95	5000	default	mcmc	exdqlm	FAIL	geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__laplace__tau_0p95__lasttt_5000	dynamic	laplace	0.95	5000	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__normal__tau_0p05__lasttt_500	dynamic	normal	0.05	500	default	vb	exdqlm	FAIL	ld_unstable; vb_converged_false; core_parameter_tail_unstable	fresh_vb_then_mcmc	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__normal__tau_0p05__lasttt_500	dynamic	normal	0.05	500	default	mcmc	exdqlm	FAIL	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__normal__tau_0p05__lasttt_500	dynamic	normal	0.05	500	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__normal__tau_0p05__lasttt_5000	dynamic	normal	0.05	5000	default	mcmc	exdqlm	FAIL	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__normal__tau_0p05__lasttt_5000	dynamic	normal	0.05	5000	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__normal__tau_0p25__lasttt_500	dynamic	normal	0.25	500	default	mcmc	exdqlm	FAIL	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__normal__tau_0p25__lasttt_500	dynamic	normal	0.25	500	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__normal__tau_0p25__lasttt_5000	dynamic	normal	0.25	5000	default	mcmc	exdqlm	FAIL	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__normal__tau_0p25__lasttt_5000	dynamic	normal	0.25	5000	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__normal__tau_0p95__lasttt_500	dynamic	normal	0.95	500	default	mcmc	exdqlm	FAIL	geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__normal__tau_0p95__lasttt_500	dynamic	normal	0.95	500	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__normal__tau_0p95__lasttt_5000	dynamic	normal	0.95	5000	default	mcmc	exdqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__normal__tau_0p95__lasttt_5000	dynamic	normal	0.95	5000	default	mcmc	dqlm	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000
root__static_paper__gausmix__tau_0p05__tt_1000	static_paper	gausmix	0.05	1000	paper	mcmc	exal	FAIL	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__gausmix__tau_0p25__tt_100	static_paper	gausmix	0.25	100	paper	vb	exal	FAIL	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__gausmix__tau_0p25__tt_100	static_paper	gausmix	0.25	100	paper	mcmc	exal	FAIL	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__gausmix__tau_0p25__tt_100	static_paper	gausmix	0.25	100	paper	mcmc	al	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__gausmix__tau_0p25__tt_1000	static_paper	gausmix	0.25	1000	paper	vb	exal	FAIL	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__gausmix__tau_0p25__tt_1000	static_paper	gausmix	0.25	1000	paper	mcmc	exal	FAIL	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__gausmix__tau_0p95__tt_100	static_paper	gausmix	0.95	100	paper	mcmc	exal	FAIL	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__gausmix__tau_0p95__tt_1000	static_paper	gausmix	0.95	1000	paper	mcmc	exal	FAIL	low_ess; high_autocorrelation	rerun_mcmc_from_existing_vb	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__laplace__tau_0p05__tt_100	static_paper	laplace	0.05	100	paper	mcmc	exal	FAIL	half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__laplace__tau_0p05__tt_1000	static_paper	laplace	0.05	1000	paper	mcmc	exal	FAIL	low_ess; high_autocorrelation	rerun_mcmc_from_existing_vb	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__laplace__tau_0p25__tt_100	static_paper	laplace	0.25	100	paper	vb	exal	FAIL	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__laplace__tau_0p25__tt_100	static_paper	laplace	0.25	100	paper	mcmc	exal	FAIL	geweke_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__laplace__tau_0p25__tt_1000	static_paper	laplace	0.25	1000	paper	vb	exal	FAIL	non_finite_fit; missing_elbo_trace; ld_unstable; vb_converged_false; elbo_tail_unstable	fresh_vb_then_mcmc	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__laplace__tau_0p25__tt_1000	static_paper	laplace	0.25	1000	paper	mcmc	exal	FAIL	low_ess; high_autocorrelation; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__laplace__tau_0p95__tt_100	static_paper	laplace	0.95	100	paper	mcmc	exal	FAIL	low_ess; high_autocorrelation	rerun_mcmc_from_existing_vb	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__laplace__tau_0p95__tt_1000	static_paper	laplace	0.95	1000	paper	mcmc	exal	FAIL	low_ess; high_autocorrelation	rerun_mcmc_from_existing_vb	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
root__static_paper__normal__tau_0p05__tt_100	static_paper	normal	0.05	100	paper	mcmc	exal	FAIL	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	rerun_mcmc_from_existing_vb	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100
root__static_paper__normal__tau_0p05__tt_1000	static_paper	normal	0.05	1000	paper	mcmc	exal	FAIL	low_ess; high_autocorrelation	rerun_mcmc_from_existing_vb	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000
