"scenario_key","scope_label","block","root_kind","family","tau_label","fit_size","prior_semantics","inference","gate_overall.dqlm","healthy.dqlm","gate_rank_num.dqlm","runtime_sec.dqlm","selected_pool.dqlm","selected_candidate.dqlm","gate_overall.exdqlm","healthy.exdqlm","gate_rank_num.exdqlm","runtime_sec.exdqlm","selected_pool.exdqlm","selected_candidate.exdqlm","gate_delta_exdqlm_minus_dqlm","gate_comparison","runtime_ratio_exdqlm_over_dqlm","faster_method"
"dynamic::gausmix::0p05::500::default","root__dynamic__gausmix__tau_0p05__lasttt_500","dynamic","dynamic","gausmix","0p05",500,"default","mcmc","PASS",TRUE,1,449.166,"dynamic_archive_rescore_20260405","archive_existing","WARN",TRUE,2,936.98,"dynamic_tail7_rw_20260406","mcmc_exdqlm_rw_refresh_tt500",-1,"dqlm_better",2.086044,"dqlm"
"dynamic::gausmix::0p05::500::default","root__dynamic__gausmix__tau_0p05__lasttt_500","dynamic","dynamic","gausmix","0p05",500,"default","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,631.985,"syncedbase_faithful_replay_20260407","row_0002",0,"tie",,
"dynamic::gausmix::0p05::5000::default","root__dynamic__gausmix__tau_0p05__lasttt_5000","dynamic","dynamic","gausmix","0p05",5000,"default","mcmc","PASS",TRUE,1,6321.724,"hybrid_291_selection","dynamic_tail_cppgig_refresh_20260331","FAIL",FALSE,3,,"baseline_original","baseline",-2,"dqlm_better",,
"dynamic::gausmix::0p05::5000::default","root__dynamic__gausmix__tau_0p05__lasttt_5000","dynamic","dynamic","gausmix","0p05",5000,"default","vb","PASS",TRUE,1,363.593,"syncedbase_faithful_replay_20260407","row_0003","WARN",TRUE,2,1440.065,"dynamic_archive_rescore_20260405","archive_existing",-1,"dqlm_better",3.960651,"dqlm"
"dynamic::gausmix::0p25::500::default","root__dynamic__gausmix__tau_0p25__lasttt_500","dynamic","dynamic","gausmix","0p25",500,"default","mcmc","PASS",TRUE,1,903.497,"dynamic_archive_rescore_20260405","archive_existing","FAIL",FALSE,3,,"baseline_original","baseline",-2,"dqlm_better",,
"dynamic::gausmix::0p25::500::default","root__dynamic__gausmix__tau_0p25__lasttt_500","dynamic","dynamic","gausmix","0p25",500,"default","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,135.082,"syncedbase_faithful_replay_20260407","row_0006",0,"tie",,
"dynamic::gausmix::0p25::5000::default","root__dynamic__gausmix__tau_0p25__lasttt_5000","dynamic","dynamic","gausmix","0p25",5000,"default","mcmc","PASS",TRUE,1,9779.123,"dynamic_summary_csv","adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823","WARN",TRUE,2,5809.576,"hybrid_291_selection","row15_slice_exact_20260405",-1,"dqlm_better",0.594079,"exdqlm"
"dynamic::gausmix::0p25::5000::default","root__dynamic__gausmix__tau_0p25__lasttt_5000","dynamic","dynamic","gausmix","0p25",5000,"default","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,552.729,"syncedbase_faithful_replay_20260407","row_0008",0,"tie",,
"dynamic::gausmix::0p95::500::default","root__dynamic__gausmix__tau_0p95__lasttt_500","dynamic","dynamic","gausmix","0p95",500,"default","mcmc","PASS",TRUE,1,901.878,"dynamic_archive_rescore_20260405","archive_existing","PASS",TRUE,1,475.721,"dynamic_tail8_20260405","mcmc_exdqlm_slice_sync",0,"tie",0.527478,"exdqlm"
"dynamic::gausmix::0p95::500::default","root__dynamic__gausmix__tau_0p95__lasttt_500","dynamic","dynamic","gausmix","0p95",500,"default","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,168.768,"syncedbase_faithful_replay_20260407","row_0010",0,"tie",,
"dynamic::gausmix::0p95::5000::default","root__dynamic__gausmix__tau_0p95__lasttt_5000","dynamic","dynamic","gausmix","0p95",5000,"default","mcmc","PASS",TRUE,1,19384.026,"dynamic_summary_csv","tierA_sync_20260322_Q03_dqlm_tau0p95_tt5000_gausmix","PASS",TRUE,1,1945.455,"syncedbase_faithful_replay_20260407","row_0262",0,"tie",0.100364,"exdqlm"
"dynamic::gausmix::0p95::5000::default","root__dynamic__gausmix__tau_0p95__lasttt_5000","dynamic","dynamic","gausmix","0p95",5000,"default","vb","PASS",TRUE,1,428.993,"syncedbase_faithful_replay_20260407","row_0011","PASS",TRUE,1,974.438,"syncedbase_faithful_replay_20260407","row_0012",0,"tie",2.271454,"dqlm"
"dynamic::laplace::0p05::500::default","root__dynamic__laplace__tau_0p05__lasttt_500","dynamic","dynamic","laplace","0p05",500,"default","mcmc","PASS",TRUE,1,444.656,"dynamic_archive_rescore_20260405","archive_existing","FAIL",FALSE,3,,"baseline_original","baseline",-2,"dqlm_better",,
"dynamic::laplace::0p05::500::default","root__dynamic__laplace__tau_0p05__lasttt_500","dynamic","dynamic","laplace","0p05",500,"default","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,645.386,"syncedbase_faithful_replay_20260407","row_0014",0,"tie",,
"dynamic::laplace::0p05::5000::default","root__dynamic__laplace__tau_0p05__lasttt_5000","dynamic","dynamic","laplace","0p05",5000,"default","mcmc","PASS",TRUE,1,1785.524,"syncedbase_faithful_replay_20260407","row_0264","FAIL",FALSE,3,,"baseline_original","baseline",-2,"dqlm_better",,
"dynamic::laplace::0p05::5000::default","root__dynamic__laplace__tau_0p05__lasttt_5000","dynamic","dynamic","laplace","0p05",5000,"default","vb","PASS",TRUE,1,361.245,"syncedbase_faithful_replay_20260407","row_0015","WARN",TRUE,2,1493.772,"dynamic_archive_rescore_20260405","archive_existing",-1,"dqlm_better",4.135066,"dqlm"
"dynamic::laplace::0p25::500::default","root__dynamic__laplace__tau_0p25__lasttt_500","dynamic","dynamic","laplace","0p25",500,"default","mcmc","PASS",TRUE,1,907.663,"dynamic_archive_rescore_20260405","archive_existing","WARN",TRUE,2,741.185,"dynamic_archive_rescore_20260405","archive_existing",-1,"dqlm_better",0.816586,"exdqlm"
"dynamic::laplace::0p25::500::default","root__dynamic__laplace__tau_0p25__lasttt_500","dynamic","dynamic","laplace","0p25",500,"default","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,134.307,"syncedbase_faithful_replay_20260407","row_0018",0,"tie",,
"dynamic::laplace::0p25::5000::default","root__dynamic__laplace__tau_0p25__lasttt_5000","dynamic","dynamic","laplace","0p25",5000,"default","mcmc","PASS",TRUE,1,1807.255,"syncedbase_faithful_replay_20260407","row_0267","WARN",TRUE,2,18538.16,"dynamic_summary_csv","slice_wave2_20260319_laplace_indep1",-1,"dqlm_better",10.257634,"dqlm"
"dynamic::laplace::0p25::5000::default","root__dynamic__laplace__tau_0p25__lasttt_5000","dynamic","dynamic","laplace","0p25",5000,"default","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,500.023,"syncedbase_faithful_replay_20260407","row_0020",0,"tie",,
"dynamic::laplace::0p95::500::default","root__dynamic__laplace__tau_0p95__lasttt_500","dynamic","dynamic","laplace","0p95",500,"default","mcmc","PASS",TRUE,1,844.627,"dynamic_archive_rescore_20260405","archive_existing","PASS",TRUE,1,191.49,"syncedbase_faithful_replay_20260407","row_0270",0,"tie",0.226715,"exdqlm"
"dynamic::laplace::0p95::500::default","root__dynamic__laplace__tau_0p95__lasttt_500","dynamic","dynamic","laplace","0p95",500,"default","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,169.155,"syncedbase_faithful_replay_20260407","row_0022",0,"tie",,
"dynamic::laplace::0p95::5000::default","root__dynamic__laplace__tau_0p95__lasttt_5000","dynamic","dynamic","laplace","0p95",5000,"default","mcmc","PASS",TRUE,1,895.076,"syncedbase_faithful_replay_20260407","row_0271","PASS",TRUE,1,19448.623,"dynamic_summary_csv","tierA_sync_20260322_Q04_exdqlm_tau0p95_tt5000_laplace",0,"tie",21.72846,"dqlm"
"dynamic::laplace::0p95::5000::default","root__dynamic__laplace__tau_0p95__lasttt_5000","dynamic","dynamic","laplace","0p95",5000,"default","vb","PASS",TRUE,1,435.018,"syncedbase_faithful_replay_20260407","row_0023","PASS",TRUE,1,962.852,"syncedbase_faithful_replay_20260407","row_0024",0,"tie",2.213361,"dqlm"
"dynamic::normal::0p05::500::default","root__dynamic__normal__tau_0p05__lasttt_500","dynamic","dynamic","normal","0p05",500,"default","mcmc","PASS",TRUE,1,448.683,"dynamic_archive_rescore_20260405","archive_existing","FAIL",FALSE,3,,"baseline_original","baseline",-2,"dqlm_better",,
"dynamic::normal::0p05::500::default","root__dynamic__normal__tau_0p05__lasttt_500","dynamic","dynamic","normal","0p05",500,"default","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,401.386,"syncedbase_faithful_replay_20260407","row_0026",0,"tie",,
"dynamic::normal::0p05::5000::default","root__dynamic__normal__tau_0p05__lasttt_5000","dynamic","dynamic","normal","0p05",5000,"default","mcmc","PASS",TRUE,1,18534.76,"dynamic_summary_csv","tierA_sync_20260322_Q01_dqlm_tau0p05_tt5000_normal","FAIL",FALSE,3,,"baseline_original","baseline",-2,"dqlm_better",,
"dynamic::normal::0p05::5000::default","root__dynamic__normal__tau_0p05__lasttt_5000","dynamic","dynamic","normal","0p05",5000,"default","vb","PASS",TRUE,1,388.781,"syncedbase_faithful_replay_20260407","row_0027","WARN",TRUE,2,,"baseline_original","baseline",-1,"dqlm_better",,
"dynamic::normal::0p25::500::default","root__dynamic__normal__tau_0p25__lasttt_500","dynamic","dynamic","normal","0p25",500,"default","mcmc","PASS",TRUE,1,176.544,"hybrid_291_selection","row57_cppgig_same_seed_20260330","WARN",TRUE,2,742.807,"dynamic_summary_csv","slice_wave1_20260319",-1,"dqlm_better",4.207489,"dqlm"
"dynamic::normal::0p25::500::default","root__dynamic__normal__tau_0p25__lasttt_500","dynamic","dynamic","normal","0p25",500,"default","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,100.42,"syncedbase_faithful_replay_20260407","row_0030",0,"tie",,
"dynamic::normal::0p25::5000::default","root__dynamic__normal__tau_0p25__lasttt_5000","dynamic","dynamic","normal","0p25",5000,"default","mcmc","PASS",TRUE,1,1745.188,"syncedbase_faithful_replay_20260407","row_0277","WARN",TRUE,2,16500.059,"dynamic_summary_csv","slice_wave2_20260319",-1,"dqlm_better",9.454603,"dqlm"
"dynamic::normal::0p25::5000::default","root__dynamic__normal__tau_0p25__lasttt_5000","dynamic","dynamic","normal","0p25",5000,"default","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,507.891,"syncedbase_faithful_replay_20260407","row_0032",0,"tie",,
"dynamic::normal::0p95::500::default","root__dynamic__normal__tau_0p95__lasttt_500","dynamic","dynamic","normal","0p95",500,"default","mcmc","WARN",TRUE,2,,"baseline_original","baseline","PASS",TRUE,1,1645.373,"dynamic_summary_csv","tierA_sync_20260322_Q05_exdqlm_tau0p95_tt500_normal",1,"exdqlm_better",,
"dynamic::normal::0p95::500::default","root__dynamic__normal__tau_0p95__lasttt_500","dynamic","dynamic","normal","0p95",500,"default","vb","PASS",TRUE,1,36.012,"syncedbase_faithful_replay_20260407","row_0033","PASS",TRUE,1,152.831,"syncedbase_faithful_replay_20260407","row_0034",0,"tie",4.243891,"dqlm"
"dynamic::normal::0p95::5000::default","root__dynamic__normal__tau_0p95__lasttt_5000","dynamic","dynamic","normal","0p95",5000,"default","mcmc","PASS",TRUE,1,1753.689,"syncedbase_faithful_replay_20260407","row_0281","PASS",TRUE,1,19134.688,"dynamic_summary_csv","tierA_sync_20260322_Q06_exdqlm_tau0p95_tt5000_normal",0,"tie",10.911107,"dqlm"
"dynamic::normal::0p95::5000::default","root__dynamic__normal__tau_0p95__lasttt_5000","dynamic","dynamic","normal","0p95",5000,"default","vb","PASS",TRUE,1,394.194,"syncedbase_faithful_replay_20260407","row_0035","PASS",TRUE,1,886.794,"syncedbase_faithful_replay_20260407","row_0036",0,"tie",2.249639,"dqlm"
