"scenario_key","scope_label","block","root_kind","family","tau_label","fit_size","prior_semantics","model","gate_overall.mcmc","healthy.mcmc","gate_rank_num.mcmc","runtime_sec.mcmc","selected_pool.mcmc","selected_candidate.mcmc","gate_overall.vb","healthy.vb","gate_rank_num.vb","runtime_sec.vb","selected_pool.vb","selected_candidate.vb","gate_delta_mcmc_minus_vb","gate_comparison","runtime_ratio_mcmc_over_vb","faster_method"
"static_paper::gausmix::0p05::100::paper","root__static_paper__gausmix__tau_0p05__tt_100","static_paper","static_paper","gausmix","0p05",100,"paper","al","PASS",TRUE,1,6.269,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_paper::gausmix::0p05::100::paper","root__static_paper__gausmix__tau_0p05__tt_100","static_paper","static_paper","gausmix","0p05",100,"paper","exal","PASS",TRUE,1,53.56,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,1,10.362,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",5.168886,"vb"
"static_paper::gausmix::0p05::1000::paper","root__static_paper__gausmix__tau_0p05__tt_1000","static_paper","static_paper","gausmix","0p05",1000,"paper","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_paper::gausmix::0p05::1000::paper","root__static_paper__gausmix__tau_0p05__tt_1000","static_paper","static_paper","gausmix","0p05",1000,"paper","exal","PASS",TRUE,1,65.241,"hybrid_291_selection","F085_sub2_s100","PASS",TRUE,1,14.528,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",4.490708,"vb"
"static_paper::gausmix::0p25::100::paper","root__static_paper__gausmix__tau_0p25__tt_100","static_paper","static_paper","gausmix","0p25",100,"paper","al","PASS",TRUE,1,19.805,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_paper::gausmix::0p25::100::paper","root__static_paper__gausmix__tau_0p25__tt_100","static_paper","static_paper","gausmix","0p25",100,"paper","exal","WARN",TRUE,2,54.294,"hybrid_291_selection","F085_sub2_s100","WARN",TRUE,2,13.626,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",3.984588,"vb"
"static_paper::gausmix::0p25::1000::paper","root__static_paper__gausmix__tau_0p25__tt_1000","static_paper","static_paper","gausmix","0p25",1000,"paper","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_paper::gausmix::0p25::1000::paper","root__static_paper__gausmix__tau_0p25__tt_1000","static_paper","static_paper","gausmix","0p25",1000,"paper","exal","PASS",TRUE,1,59.175,"syncedbase_targeted_followup_20260407","row_0018","WARN",TRUE,2,16.775,"static_refresh_compact","rhsns_impl_refresh_20260329",1,"mcmc_better",3.527571,"vb"
"static_paper::gausmix::0p95::100::paper","root__static_paper__gausmix__tau_0p95__tt_100","static_paper","static_paper","gausmix","0p95",100,"paper","al","PASS",TRUE,1,6.278,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_paper::gausmix::0p95::100::paper","root__static_paper__gausmix__tau_0p95__tt_100","static_paper","static_paper","gausmix","0p95",100,"paper","exal","WARN",TRUE,2,53.368,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,1,9.913,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"vb_better",5.383638,"vb"
"static_paper::gausmix::0p95::1000::paper","root__static_paper__gausmix__tau_0p95__tt_1000","static_paper","static_paper","gausmix","0p95",1000,"paper","al","PASS",TRUE,1,8.724,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_paper::gausmix::0p95::1000::paper","root__static_paper__gausmix__tau_0p95__tt_1000","static_paper","static_paper","gausmix","0p95",1000,"paper","exal","WARN",TRUE,2,,"baseline_original","baseline","PASS",TRUE,1,13.895,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"vb_better",,
"static_paper::laplace::0p05::100::paper","root__static_paper__laplace__tau_0p05__tt_100","static_paper","static_paper","laplace","0p05",100,"paper","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_paper::laplace::0p05::100::paper","root__static_paper__laplace__tau_0p05__tt_100","static_paper","static_paper","laplace","0p05",100,"paper","exal","PASS",TRUE,1,53.048,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,1,13.95,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",3.802724,"vb"
"static_paper::laplace::0p05::1000::paper","root__static_paper__laplace__tau_0p05__tt_1000","static_paper","static_paper","laplace","0p05",1000,"paper","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_paper::laplace::0p05::1000::paper","root__static_paper__laplace__tau_0p05__tt_1000","static_paper","static_paper","laplace","0p05",1000,"paper","exal","PASS",TRUE,1,57.608,"hybrid_291_selection","F085_sub2_s100","PASS",TRUE,1,10.053,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",5.730429,"vb"
"static_paper::laplace::0p25::100::paper","root__static_paper__laplace__tau_0p25__tt_100","static_paper","static_paper","laplace","0p25",100,"paper","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_paper::laplace::0p25::100::paper","root__static_paper__laplace__tau_0p25__tt_100","static_paper","static_paper","laplace","0p25",100,"paper","exal","PASS",TRUE,1,53.805,"hybrid_291_selection","F080_sub2_s105","WARN",TRUE,2,13.726,"static_refresh_compact","rhsns_impl_refresh_20260329",1,"mcmc_better",3.919933,"vb"
"static_paper::laplace::0p25::1000::paper","root__static_paper__laplace__tau_0p25__tt_1000","static_paper","static_paper","laplace","0p25",1000,"paper","al","PASS",TRUE,1,28.452,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_paper::laplace::0p25::1000::paper","root__static_paper__laplace__tau_0p25__tt_1000","static_paper","static_paper","laplace","0p25",1000,"paper","exal","WARN",TRUE,2,56.17,"hybrid_291_selection","F080_sub2_s105","WARN",TRUE,2,15.397,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",3.648113,"vb"
"static_paper::laplace::0p95::100::paper","root__static_paper__laplace__tau_0p95__tt_100","static_paper","static_paper","laplace","0p95",100,"paper","al","PASS",TRUE,1,6.301,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_paper::laplace::0p95::100::paper","root__static_paper__laplace__tau_0p95__tt_100","static_paper","static_paper","laplace","0p95",100,"paper","exal","PASS",TRUE,1,100.036,"hybrid_291_selection","F0825_sub2_s100","PASS",TRUE,1,6.72,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",14.88631,"vb"
"static_paper::laplace::0p95::1000::paper","root__static_paper__laplace__tau_0p95__tt_1000","static_paper","static_paper","laplace","0p95",1000,"paper","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_paper::laplace::0p95::1000::paper","root__static_paper__laplace__tau_0p95__tt_1000","static_paper","static_paper","laplace","0p95",1000,"paper","exal","WARN",TRUE,2,62.504,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,1,11.233,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"vb_better",5.564319,"vb"
"static_paper::normal::0p05::100::paper","root__static_paper__normal__tau_0p05__tt_100","static_paper","static_paper","normal","0p05",100,"paper","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_paper::normal::0p05::100::paper","root__static_paper__normal__tau_0p05__tt_100","static_paper","static_paper","normal","0p05",100,"paper","exal","PASS",TRUE,1,57.289,"hybrid_291_selection","F085_sub2_s100","PASS",TRUE,1,13.868,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",4.131021,"vb"
"static_paper::normal::0p05::1000::paper","root__static_paper__normal__tau_0p05__tt_1000","static_paper","static_paper","normal","0p05",1000,"paper","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_paper::normal::0p05::1000::paper","root__static_paper__normal__tau_0p05__tt_1000","static_paper","static_paper","normal","0p05",1000,"paper","exal","WARN",TRUE,2,59.387,"hybrid_291_selection","F085_sub2_s100","PASS",TRUE,1,13.084,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"vb_better",4.538902,"vb"
"static_paper::normal::0p25::100::paper","root__static_paper__normal__tau_0p25__tt_100","static_paper","static_paper","normal","0p25",100,"paper","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_paper::normal::0p25::100::paper","root__static_paper__normal__tau_0p25__tt_100","static_paper","static_paper","normal","0p25",100,"paper","exal","WARN",TRUE,2,,"baseline_original","baseline","WARN",TRUE,2,13.665,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_paper::normal::0p25::1000::paper","root__static_paper__normal__tau_0p25__tt_1000","static_paper","static_paper","normal","0p25",1000,"paper","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_paper::normal::0p25::1000::paper","root__static_paper__normal__tau_0p25__tt_1000","static_paper","static_paper","normal","0p25",1000,"paper","exal","PASS",TRUE,1,138.084,"hybrid_291_selection","F0825_sub2_s105_none","WARN",TRUE,2,15.414,"static_refresh_compact","rhsns_impl_refresh_20260329",1,"mcmc_better",8.95835,"vb"
"static_paper::normal::0p95::100::paper","root__static_paper__normal__tau_0p95__tt_100","static_paper","static_paper","normal","0p95",100,"paper","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_paper::normal::0p95::100::paper","root__static_paper__normal__tau_0p95__tt_100","static_paper","static_paper","normal","0p95",100,"paper","exal","WARN",TRUE,2,52.908,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,1,13.317,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"vb_better",3.972967,"vb"
"static_paper::normal::0p95::1000::paper","root__static_paper__normal__tau_0p95__tt_1000","static_paper","static_paper","normal","0p95",1000,"paper","al","PASS",TRUE,1,9.809,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_paper::normal::0p95::1000::paper","root__static_paper__normal__tau_0p95__tt_1000","static_paper","static_paper","normal","0p95",1000,"paper","exal","WARN",TRUE,2,,"baseline_original","baseline","PASS",TRUE,1,12.269,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"vb_better",,
"static_shrink::gausmix::0p05::100::rhs","root__static_shrink__gausmix__tau_0p05__tt_100__rhs","static_shrink","static_shrink","gausmix","0p05",100,"rhs","al","PASS",TRUE,1,7.02,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,0.992999999999999,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",7.069486,"vb"
"static_shrink::gausmix::0p05::100::rhs","root__static_shrink__gausmix__tau_0p05__tt_100__rhs","static_shrink","static_shrink","gausmix","0p05",100,"rhs","exal","PASS",TRUE,1,160.225,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,1,11.883,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",13.483548,"vb"
"static_shrink::gausmix::0p05::100::ridge","root__static_shrink__gausmix__tau_0p05__tt_100__ridge","static_shrink","static_shrink","gausmix","0p05",100,"ridge","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::gausmix::0p05::100::ridge","root__static_shrink__gausmix__tau_0p05__tt_100__ridge","static_shrink","static_shrink","gausmix","0p05",100,"ridge","exal","PASS",TRUE,1,54.619,"hybrid_291_selection","F080_sub2_s105","PASS",TRUE,1,11.957,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",4.567952,"vb"
"static_shrink::gausmix::0p05::1000::rhs","root__static_shrink__gausmix__tau_0p05__tt_1000__rhs","static_shrink","static_shrink","gausmix","0p05",1000,"rhs","al","PASS",TRUE,1,9.365,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::gausmix::0p05::1000::rhs","root__static_shrink__gausmix__tau_0p05__tt_1000__rhs","static_shrink","static_shrink","gausmix","0p05",1000,"rhs","exal","WARN",TRUE,2,,"baseline_original","baseline","PASS",TRUE,1,11.336,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"vb_better",,
"static_shrink::gausmix::0p05::1000::ridge","root__static_shrink__gausmix__tau_0p05__tt_1000__ridge","static_shrink","static_shrink","gausmix","0p05",1000,"ridge","al","PASS",TRUE,1,9.258,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::gausmix::0p05::1000::ridge","root__static_shrink__gausmix__tau_0p05__tt_1000__ridge","static_shrink","static_shrink","gausmix","0p05",1000,"ridge","exal","WARN",TRUE,2,,"baseline_original","baseline","PASS",TRUE,1,12.036,"static_refresh_compact","rhsns_impl_refresh_20260329",-1,"vb_better",,
"static_shrink::gausmix::0p25::100::rhs","root__static_shrink__gausmix__tau_0p25__tt_100__rhs","static_shrink","static_shrink","gausmix","0p25",100,"rhs","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,0.669,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::gausmix::0p25::100::rhs","root__static_shrink__gausmix__tau_0p25__tt_100__rhs","static_shrink","static_shrink","gausmix","0p25",100,"rhs","exal","WARN",TRUE,2,164.023,"hybrid_291_selection","F085_sub2_s100","WARN",TRUE,2,13.807,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",11.879699,"vb"
"static_shrink::gausmix::0p25::100::ridge","root__static_shrink__gausmix__tau_0p25__tt_100__ridge","static_shrink","static_shrink","gausmix","0p25",100,"ridge","al","PASS",TRUE,1,19.916,"static_refresh_compact","rhsns_impl_refresh_20260329","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::gausmix::0p25::100::ridge","root__static_shrink__gausmix__tau_0p25__tt_100__ridge","static_shrink","static_shrink","gausmix","0p25",100,"ridge","exal","WARN",TRUE,2,,"baseline_original","baseline","WARN",TRUE,2,13.777,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",,
"static_shrink::gausmix::0p25::1000::rhs","root__static_shrink__gausmix__tau_0p25__tt_1000__rhs","static_shrink","static_shrink","gausmix","0p25",1000,"rhs","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::gausmix::0p25::1000::rhs","root__static_shrink__gausmix__tau_0p25__tt_1000__rhs","static_shrink","static_shrink","gausmix","0p25",1000,"rhs","exal","WARN",TRUE,2,60.128,"hybrid_291_selection","F085_sub2_s100","WARN",TRUE,2,16.157,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",3.721483,"vb"
"static_shrink::gausmix::0p25::1000::ridge","root__static_shrink__gausmix__tau_0p25__tt_1000__ridge","static_shrink","static_shrink","gausmix","0p25",1000,"ridge","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
"static_shrink::gausmix::0p25::1000::ridge","root__static_shrink__gausmix__tau_0p25__tt_1000__ridge","static_shrink","static_shrink","gausmix","0p25",1000,"ridge","exal","WARN",TRUE,2,136.497,"hybrid_291_selection","F085_sub2_s105_histshort","WARN",TRUE,2,17.614,"static_refresh_compact","rhsns_impl_refresh_20260329",0,"tie",7.749347,"vb"
"static_shrink::gausmix::0p95::100::rhs","root__static_shrink__gausmix__tau_0p95__tt_100__rhs","static_shrink","static_shrink","gausmix","0p95",100,"rhs","al","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,,"baseline_original","baseline",0,"tie",,
