"block","root_kind","family","tau_label","fit_size","prior_semantics","model","inference","original_case_key","original_scenario_key","gate_overall","healthy","runtime_sec","primary_accuracy","coverage","mean_ci_width","mae","bias","corr","cie","beta_rmse_mean","beta_coverage_gap","metric_source","metric_error"
"dynamic","dynamic","gausmix","0p05",500,"default","dqlm","mcmc","dynamic::gausmix::0p05::500::default::dqlm::mcmc","dynamic::gausmix::0p05::500::default","PASS",TRUE,449.166,4956.807659936,0.094,765.87099470244,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p05",500,"default","exdqlm","mcmc","dynamic::gausmix::0p05::500::default::exdqlm::mcmc","dynamic::gausmix::0p05::500::default","WARN",TRUE,936.98,4960.98239104324,0.094,768.980958449064,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p05",500,"default","dqlm","vb","dynamic::gausmix::0p05::500::default::dqlm::vb","dynamic::gausmix::0p05::500::default","PASS",TRUE,NA,4963.99572101382,0.088,525.443433315882,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p05",500,"default","exdqlm","vb","dynamic::gausmix::0p05::500::default::exdqlm::vb","dynamic::gausmix::0p05::500::default","PASS",TRUE,631.985,5018.15441716758,0.09,517.61313861678,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p05",5000,"default","dqlm","mcmc","dynamic::gausmix::0p05::5000::default::dqlm::mcmc","dynamic::gausmix::0p05::5000::default","PASS",TRUE,6321.724,543.71721753458,0.9286,15.8499634359819,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p05",5000,"default","exdqlm","mcmc","dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic::gausmix::0p05::5000::default","FAIL",FALSE,NA,559.369623963568,0.9292,17.0990562699661,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p05",5000,"default","dqlm","vb","dynamic::gausmix::0p05::5000::default::dqlm::vb","dynamic::gausmix::0p05::5000::default","PASS",TRUE,363.593,545.88953863883,0.8234,10.3427357525307,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p05",5000,"default","exdqlm","vb","dynamic::gausmix::0p05::5000::default::exdqlm::vb","dynamic::gausmix::0p05::5000::default","WARN",TRUE,1440.065,545.119459790896,0.8216,10.385002340237,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p25",500,"default","dqlm","mcmc","dynamic::gausmix::0p25::500::default::dqlm::mcmc","dynamic::gausmix::0p25::500::default","PASS",TRUE,903.497,3896.0942221835,0.304,720.252969326921,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p25",500,"default","exdqlm","mcmc","dynamic::gausmix::0p25::500::default::exdqlm::mcmc","dynamic::gausmix::0p25::500::default","WARN",TRUE,1807.956,9250.19738892023,1,39989.4925959894,NA,NA,NA,NA,NA,0.05,"dynamic_restored_metrics",NA
"dynamic","dynamic","gausmix","0p25",500,"default","dqlm","vb","dynamic::gausmix::0p25::500::default::dqlm::vb","dynamic::gausmix::0p25::500::default","PASS",TRUE,NA,3908.72465584305,0.174,615.1955186634,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p25",500,"default","exdqlm","vb","dynamic::gausmix::0p25::500::default::exdqlm::vb","dynamic::gausmix::0p25::500::default","PASS",TRUE,135.082,3970.47359522564,0.21,604.787072378794,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p25",5000,"default","dqlm","mcmc","dynamic::gausmix::0p25::5000::default::dqlm::mcmc","dynamic::gausmix::0p25::5000::default","PASS",TRUE,9779.123,403.015601990059,0.954,17.6569980372525,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p25",5000,"default","exdqlm","mcmc","dynamic::gausmix::0p25::5000::default::exdqlm::mcmc","dynamic::gausmix::0p25::5000::default","WARN",TRUE,5809.576,469.425204484899,0.9516,21.9550390842062,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p25",5000,"default","dqlm","vb","dynamic::gausmix::0p25::5000::default::dqlm::vb","dynamic::gausmix::0p25::5000::default","PASS",TRUE,NA,403.361704481892,0.9526,13.9332471389242,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p25",5000,"default","exdqlm","vb","dynamic::gausmix::0p25::5000::default::exdqlm::vb","dynamic::gausmix::0p25::5000::default","PASS",TRUE,552.729,415.790950745407,0.952,14.9795562062462,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p95",500,"default","dqlm","mcmc","dynamic::gausmix::0p95::500::default::dqlm::mcmc","dynamic::gausmix::0p95::500::default","PASS",TRUE,901.878,5217.69521314506,0.076,3632.3918987758,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p95",500,"default","exdqlm","mcmc","dynamic::gausmix::0p95::500::default::exdqlm::mcmc","dynamic::gausmix::0p95::500::default","PASS",TRUE,475.721,9163.88404384057,0.056,3024.92629882086,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p95",500,"default","dqlm","vb","dynamic::gausmix::0p95::500::default::dqlm::vb","dynamic::gausmix::0p95::500::default","PASS",TRUE,NA,5161.70616336205,0.024,1498.07395233411,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p95",500,"default","exdqlm","vb","dynamic::gausmix::0p95::500::default::exdqlm::vb","dynamic::gausmix::0p95::500::default","PASS",TRUE,168.768,4906.05626409467,0.048,1135.25379481128,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p95",5000,"default","dqlm","mcmc","dynamic::gausmix::0p95::5000::default::dqlm::mcmc","dynamic::gausmix::0p95::5000::default","PASS",TRUE,19384.026,366.29148177055,0.9078,73.6254585660176,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p95",5000,"default","exdqlm","mcmc","dynamic::gausmix::0p95::5000::default::exdqlm::mcmc","dynamic::gausmix::0p95::5000::default","PASS",TRUE,1945.455,343.166400488548,0.0038,82.8988317713232,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p95",5000,"default","dqlm","vb","dynamic::gausmix::0p95::5000::default::dqlm::vb","dynamic::gausmix::0p95::5000::default","PASS",TRUE,428.993,373.723241156594,0.8262,44.4701776333476,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","gausmix","0p95",5000,"default","exdqlm","vb","dynamic::gausmix::0p95::5000::default::exdqlm::vb","dynamic::gausmix::0p95::5000::default","PASS",TRUE,974.438,337.00270609495,0.0022,59.7435988835692,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p05",500,"default","dqlm","mcmc","dynamic::laplace::0p05::500::default::dqlm::mcmc","dynamic::laplace::0p05::500::default","PASS",TRUE,444.656,4879.01442325103,0.094,750.632427463357,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p05",500,"default","exdqlm","mcmc","dynamic::laplace::0p05::500::default::exdqlm::mcmc","dynamic::laplace::0p05::500::default","WARN",TRUE,1483.752,10140.7709887746,1,25698.4700265308,NA,NA,NA,NA,NA,0.05,"dynamic_restored_metrics",NA
"dynamic","dynamic","laplace","0p05",500,"default","dqlm","vb","dynamic::laplace::0p05::500::default::dqlm::vb","dynamic::laplace::0p05::500::default","PASS",TRUE,NA,4890.72541563466,0.088,518.352179862313,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p05",500,"default","exdqlm","vb","dynamic::laplace::0p05::500::default::exdqlm::vb","dynamic::laplace::0p05::500::default","PASS",TRUE,645.386,4944.9163985846,0.088,509.965260031737,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p05",5000,"default","dqlm","mcmc","dynamic::laplace::0p05::5000::default::dqlm::mcmc","dynamic::laplace::0p05::5000::default","PASS",TRUE,1785.524,513.914697591329,0.9436,18.0139828639404,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p05",5000,"default","exdqlm","mcmc","dynamic::laplace::0p05::5000::default::exdqlm::mcmc","dynamic::laplace::0p05::5000::default","FAIL",FALSE,NA,519.187692630715,0.9436,18.3428206491585,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p05",5000,"default","dqlm","vb","dynamic::laplace::0p05::5000::default::dqlm::vb","dynamic::laplace::0p05::5000::default","PASS",TRUE,361.245,516.212799465078,0.8512,11.5689512151815,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p05",5000,"default","exdqlm","vb","dynamic::laplace::0p05::5000::default::exdqlm::vb","dynamic::laplace::0p05::5000::default","WARN",TRUE,1493.772,509.013403673815,0.836,11.8923912107682,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p25",500,"default","dqlm","mcmc","dynamic::laplace::0p25::500::default::dqlm::mcmc","dynamic::laplace::0p25::500::default","PASS",TRUE,907.663,3834.22027413534,0.304,713.138627668938,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p25",500,"default","exdqlm","mcmc","dynamic::laplace::0p25::500::default::exdqlm::mcmc","dynamic::laplace::0p25::500::default","WARN",TRUE,741.185,4168.62091671619,0.208,948.983242313268,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p25",500,"default","dqlm","vb","dynamic::laplace::0p25::500::default::dqlm::vb","dynamic::laplace::0p25::500::default","PASS",TRUE,NA,3846.73358368177,0.18,605.599495193171,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p25",500,"default","exdqlm","vb","dynamic::laplace::0p25::500::default::exdqlm::vb","dynamic::laplace::0p25::500::default","PASS",TRUE,134.307,3908.84922205089,0.212,597.88866372836,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p25",5000,"default","dqlm","mcmc","dynamic::laplace::0p25::5000::default::dqlm::mcmc","dynamic::laplace::0p25::5000::default","PASS",TRUE,1807.255,380.806120694974,0.9546,18.8806827778564,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p25",5000,"default","exdqlm","mcmc","dynamic::laplace::0p25::5000::default::exdqlm::mcmc","dynamic::laplace::0p25::5000::default","WARN",TRUE,18538.16,437.702076737832,0.9526,21.001993591969,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p25",5000,"default","dqlm","vb","dynamic::laplace::0p25::5000::default::dqlm::vb","dynamic::laplace::0p25::5000::default","PASS",TRUE,NA,381.116554847942,0.9536,14.8692119650822,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p25",5000,"default","exdqlm","vb","dynamic::laplace::0p25::5000::default::exdqlm::vb","dynamic::laplace::0p25::5000::default","PASS",TRUE,500.023,394.82123605069,0.953,15.783710044509,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p95",500,"default","dqlm","mcmc","dynamic::laplace::0p95::500::default::dqlm::mcmc","dynamic::laplace::0p95::500::default","PASS",TRUE,844.627,5131.34070116314,0.076,3489.5509684699,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p95",500,"default","exdqlm","mcmc","dynamic::laplace::0p95::500::default::exdqlm::mcmc","dynamic::laplace::0p95::500::default","PASS",TRUE,191.49,9107.60604926899,0.056,2919.77140294907,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p95",500,"default","dqlm","vb","dynamic::laplace::0p95::500::default::dqlm::vb","dynamic::laplace::0p95::500::default","PASS",TRUE,NA,5081.48032131993,0.024,1479.23538475212,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p95",500,"default","exdqlm","vb","dynamic::laplace::0p95::500::default::exdqlm::vb","dynamic::laplace::0p95::500::default","PASS",TRUE,169.155,4821.10074372068,0.05,1117.55897505619,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p95",5000,"default","dqlm","mcmc","dynamic::laplace::0p95::5000::default::dqlm::mcmc","dynamic::laplace::0p95::5000::default","PASS",TRUE,895.076,341.544411951457,0.9106,71.6255289572077,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p95",5000,"default","exdqlm","mcmc","dynamic::laplace::0p95::5000::default::exdqlm::mcmc","dynamic::laplace::0p95::5000::default","PASS",TRUE,19448.623,320.253484403252,0.004,76.5516740740472,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p95",5000,"default","dqlm","vb","dynamic::laplace::0p95::5000::default::dqlm::vb","dynamic::laplace::0p95::5000::default","PASS",TRUE,435.018,349.54279863254,0.8864,42.3917257420331,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","laplace","0p95",5000,"default","exdqlm","vb","dynamic::laplace::0p95::5000::default::exdqlm::vb","dynamic::laplace::0p95::5000::default","PASS",TRUE,962.852,314.87885417407,0.002,55.7087809408441,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p05",500,"default","dqlm","mcmc","dynamic::normal::0p05::500::default::dqlm::mcmc","dynamic::normal::0p05::500::default","PASS",TRUE,448.683,2091.33544832233,0.246,321.892453190527,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p05",500,"default","exdqlm","mcmc","dynamic::normal::0p05::500::default::exdqlm::mcmc","dynamic::normal::0p05::500::default","PASS",TRUE,1599.191,4765.207125521,1,12044.4041484636,NA,NA,NA,NA,NA,0.05,"dynamic_restored_metrics",NA
"dynamic","dynamic","normal","0p05",500,"default","dqlm","vb","dynamic::normal::0p05::500::default::dqlm::vb","dynamic::normal::0p05::500::default","PASS",TRUE,NA,2098.56526126806,0.144,219.877617813344,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p05",500,"default","exdqlm","vb","dynamic::normal::0p05::500::default::exdqlm::vb","dynamic::normal::0p05::500::default","PASS",TRUE,401.386,2115.2012251548,0.15,217.889944610625,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p05",5000,"default","dqlm","mcmc","dynamic::normal::0p05::5000::default::dqlm::mcmc","dynamic::normal::0p05::5000::default","PASS",TRUE,18534.76,154.847417425684,0.8926,6.27513469579825,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p05",5000,"default","exdqlm","mcmc","dynamic::normal::0p05::5000::default::exdqlm::mcmc","dynamic::normal::0p05::5000::default","FAIL",FALSE,NA,158.073068817742,0.8626,6.38153200073823,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p05",5000,"default","dqlm","vb","dynamic::normal::0p05::5000::default::dqlm::vb","dynamic::normal::0p05::5000::default","PASS",TRUE,388.781,156.11425127423,0.705,3.89587560535714,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p05",5000,"default","exdqlm","vb","dynamic::normal::0p05::5000::default::exdqlm::vb","dynamic::normal::0p05::5000::default","WARN",TRUE,NA,154.424505094729,0.7376,4.00757684613222,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p25",500,"default","dqlm","mcmc","dynamic::normal::0p25::500::default::dqlm::mcmc","dynamic::normal::0p25::500::default","PASS",TRUE,176.544,1561.82298027069,0.426,287.806185862406,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p25",500,"default","exdqlm","mcmc","dynamic::normal::0p25::500::default::exdqlm::mcmc","dynamic::normal::0p25::500::default","WARN",TRUE,742.807,1816.44704759901,0.394,436.780693917578,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p25",500,"default","dqlm","vb","dynamic::normal::0p25::500::default::dqlm::vb","dynamic::normal::0p25::500::default","PASS",TRUE,NA,1565.34681814427,0.394,245.326505299233,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p25",500,"default","exdqlm","vb","dynamic::normal::0p25::500::default::exdqlm::vb","dynamic::normal::0p25::500::default","PASS",TRUE,100.42,1600.7569468268,0.412,253.017716463097,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p25",5000,"default","dqlm","mcmc","dynamic::normal::0p25::5000::default::dqlm::mcmc","dynamic::normal::0p25::5000::default","PASS",TRUE,1745.188,120.624432144178,0.9706,6.95453177686846,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p25",5000,"default","exdqlm","mcmc","dynamic::normal::0p25::5000::default::exdqlm::mcmc","dynamic::normal::0p25::5000::default","WARN",TRUE,16500.059,139.450561852349,0.8876,6.87120976223937,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p25",5000,"default","dqlm","vb","dynamic::normal::0p25::5000::default::dqlm::vb","dynamic::normal::0p25::5000::default","PASS",TRUE,NA,121.069329753263,0.9572,5.31313640830196,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p25",5000,"default","exdqlm","vb","dynamic::normal::0p25::5000::default::exdqlm::vb","dynamic::normal::0p25::5000::default","PASS",TRUE,507.891,126.280308664388,0.9334,5.38992613077136,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p95",500,"default","dqlm","mcmc","dynamic::normal::0p95::500::default::dqlm::mcmc","dynamic::normal::0p95::500::default","WARN",TRUE,NA,2010.80151617024,0.07,1495.42590019023,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p95",500,"default","exdqlm","mcmc","dynamic::normal::0p95::500::default::exdqlm::mcmc","dynamic::normal::0p95::500::default","PASS",TRUE,1645.373,3175.91978576973,0.086,1188.20669085572,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p95",500,"default","dqlm","vb","dynamic::normal::0p95::500::default::dqlm::vb","dynamic::normal::0p95::500::default","PASS",TRUE,36.012,2113.9027033332,0.02,726.51573310825,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p95",500,"default","exdqlm","vb","dynamic::normal::0p95::500::default::exdqlm::vb","dynamic::normal::0p95::500::default","PASS",TRUE,152.831,1846.95861369825,0.058,513.151816496402,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p95",5000,"default","dqlm","mcmc","dynamic::normal::0p95::5000::default::dqlm::mcmc","dynamic::normal::0p95::5000::default","PASS",TRUE,1753.689,98.4106776970079,0.9394,19.8291314341924,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p95",5000,"default","exdqlm","mcmc","dynamic::normal::0p95::5000::default::exdqlm::mcmc","dynamic::normal::0p95::5000::default","PASS",TRUE,19134.688,88.3085301989364,0.0036,16.1013845452441,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p95",5000,"default","dqlm","vb","dynamic::normal::0p95::5000::default::dqlm::vb","dynamic::normal::0p95::5000::default","PASS",TRUE,394.194,100.616878772362,0.9078,12.0235972702329,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"dynamic","dynamic","normal","0p95",5000,"default","exdqlm","vb","dynamic::normal::0p95::5000::default::exdqlm::vb","dynamic::normal::0p95::5000::default","PASS",TRUE,886.794,89.4872775269233,0.0024,12.7307865680334,NA,NA,NA,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p05",100,"paper","al","mcmc","static_paper::gausmix::0p05::100::paper::al::mcmc","static_paper::gausmix::0p05::100::paper","PASS",TRUE,6.269,1.29269392327013,0.66,2.63968318997443,0.993726982373153,-0.212559988361248,0.972657618917818,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p05",100,"paper","exal","mcmc","static_paper::gausmix::0p05::100::paper::exal::mcmc","static_paper::gausmix::0p05::100::paper","PASS",TRUE,53.56,0.812404938082459,0.83,2.31508898754691,0.632139703934264,0.148322028838624,0.987955662573566,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p05",100,"paper","al","vb","static_paper::gausmix::0p05::100::paper::al::vb","static_paper::gausmix::0p05::100::paper","PASS",TRUE,0.128,1.45455224205278,0.28,0.95358977449953,1.13181060113843,-0.00454110577343539,0.9649167042443,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p05",100,"paper","exal","vb","static_paper::gausmix::0p05::100::paper::exal::vb","static_paper::gausmix::0p05::100::paper","PASS",TRUE,10.362,1.03202737591321,0.52,1.46984099339323,0.79800469147491,0.296615791078004,0.980528415888431,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p05",1000,"paper","al","mcmc","static_paper::gausmix::0p05::1000::paper::al::mcmc","static_paper::gausmix::0p05::1000::paper","PASS",TRUE,80.418,0.43982322525956,0.453,0.557550004054411,0.351071901174409,-0.10386902015034,0.996363315444602,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p05",1000,"paper","exal","mcmc","static_paper::gausmix::0p05::1000::paper::exal::mcmc","static_paper::gausmix::0p05::1000::paper","PASS",TRUE,65.241,0.40458249541562,0.429,0.657960061650104,0.359986153884508,0.352871050927188,0.999144049898489,NA,NA,NA,"validation_tables",NA
"static_paper","static_paper","gausmix","0p05",1000,"paper","al","vb","static_paper::gausmix::0p05::1000::paper::al::vb","static_paper::gausmix::0p05::1000::paper","PASS",TRUE,0.345,0.427855367327287,0.243,0.284856402522348,0.341431195328595,-0.121418328943091,0.996529551199065,NA,NA,NA,"validation_tables",NA
